date,regularBalls,powerball,mainNumberPool,powerballPool
"April 22, 1992","2,25,35,41,42",15,1 to 45,1 to 45
"April 25, 1992","6,9,22,42,44",12,1 to 45,1 to 45
"April 29, 1992","1,8,10,28,35",10,1 to 45,1 to 45
"May 2, 1992","14,23,31,32,41",33,1 to 45,1 to 45
"May 6, 1992","27,29,30,36,43",4,1 to 45,1 to 45
"May 9, 1992","1,12,16,23,31",33,1 to 45,1 to 45
"May 13, 1992","3,6,13,33,43",37,1 to 45,1 to 45
"May 16, 1992","2,9,19,28,30",38,1 to 45,1 to 45
"May 20, 1992","3,11,16,30,34",45,1 to 45,1 to 45
"May 23, 1992","23,27,28,36,44",26,1 to 45,1 to 45
"May 27, 1992","30,32,41,42,44",6,1 to 45,1 to 45
"May 30, 1992","4,8,17,19,45",9,1 to 45,1 to 45
"June 3, 1992","1,2,11,19,30",15,1 to 45,1 to 45
"June 6, 1992","2,6,9,10,42",20,1 to 45,1 to 45
"June 10, 1992","1,8,24,30,36",28,1 to 45,1 to 45
"June 13, 1992","13,27,29,42,43",41,1 to 45,1 to 45
"June 17, 1992","1,9,14,26,32",13,1 to 45,1 to 45
"June 20, 1992","7,11,15,21,35",12,1 to 45,1 to 45
"June 24, 1992","9,10,19,36,40",39,1 to 45,1 to 45
"June 27, 1992","17,23,24,31,35",25,1 to 45,1 to 45
"July 1, 1992","10,24,31,33,45",30,1 to 45,1 to 45
"July 4, 1992","5,7,15,22,45",31,1 to 45,1 to 45
"July 8, 1992","9,25,28,35,43",13,1 to 45,1 to 45
"July 11, 1992","9,11,24,28,44",20,1 to 45,1 to 45
"July 15, 1992","12,18,24,30,36",32,1 to 45,1 to 45
"July 18, 1992","2,5,18,19,35",40,1 to 45,1 to 45
"July 22, 1992","4,16,18,19,36",3,1 to 45,1 to 45
"July 25, 1992","15,21,27,32,37",37,1 to 45,1 to 45
"July 29, 1992","1,12,29,35,42",29,1 to 45,1 to 45
"August 1, 1992","10,15,17,20,28",29,1 to 45,1 to 45
"August 5, 1992","8,15,21,26,38",6,1 to 45,1 to 45
"August 8, 1992","5,14,19,26,30",27,1 to 45,1 to 45
"August 12, 1992","2,3,6,11,23",33,1 to 45,1 to 45
"August 15, 1992","7,16,17,42,45",12,1 to 45,1 to 45
"August 19, 1992","2,5,9,11,17",41,1 to 45,1 to 45
"August 22, 1992","4,36,40,43,44",43,1 to 45,1 to 45
"August 26, 1992","6,7,25,33,36",1,1 to 45,1 to 45
"August 29, 1992","14,17,30,32,41",27,1 to 45,1 to 45
"September 2, 1992","3,9,16,24,34",5,1 to 45,1 to 45
"September 5, 1992","3,4,23,24,34",6,1 to 45,1 to 45
"September 9, 1992","12,17,27,33,37",37,1 to 45,1 to 45
"September 12, 1992","10,20,22,26,34",35,1 to 45,1 to 45
"September 16, 1992","9,13,25,33,34",20,1 to 45,1 to 45
"September 19, 1992","17,19,21,29,36",45,1 to 45,1 to 45
"September 23, 1992","12,18,20,26,40",11,1 to 45,1 to 45
"September 26, 1992","17,24,40,44,45",14,1 to 45,1 to 45
"September 30, 1992","2,9,22,23,24",6,1 to 45,1 to 45
"October 3, 1992","18,36,39,40,43",5,1 to 45,1 to 45
"October 7, 1992","9,10,20,31,34",10,1 to 45,1 to 45
"October 10, 1992","3,8,23,26,35",34,1 to 45,1 to 45
"October 14, 1992","18,20,23,34,40",2,1 to 45,1 to 45
"October 17, 1992","5,13,22,28,29",12,1 to 45,1 to 45
"October 21, 1992","6,23,26,28,29",36,1 to 45,1 to 45
"October 24, 1992","3,16,24,31,35",16,1 to 45,1 to 45
"October 28, 1992","1,4,10,18,36",28,1 to 45,1 to 45
"October 31, 1992","9,15,17,26,43",22,1 to 45,1 to 45
"November 4, 1992","6,8,9,22,30",36,1 to 45,1 to 45
"November 7, 1992","2,3,22,39,42",21,1 to 45,1 to 45
"November 11, 1992","4,31,34,38,44",39,1 to 45,1 to 45
"November 14, 1992","16,21,24,36,43",19,1 to 45,1 to 45
"November 18, 1992","15,27,31,35,45",7,1 to 45,1 to 45
"November 21, 1992","2,28,36,44,45",17,1 to 45,1 to 45
"November 25, 1992","10,12,14,20,26",35,1 to 45,1 to 45
"November 28, 1992","11,15,35,39,40",23,1 to 45,1 to 45
"December 2, 1992","1,4,26,35,42",28,1 to 45,1 to 45
"December 5, 1992","9,17,19,40,41",31,1 to 45,1 to 45
"December 9, 1992","6,17,22,27,34",22,1 to 45,1 to 45
"December 12, 1992","9,28,40,42,44",12,1 to 45,1 to 45
"December 16, 1992","4,7,11,25,40",24,1 to 45,1 to 45
"December 19, 1992","11,16,32,37,39",27,1 to 45,1 to 45
"December 23, 1992","7,12,21,25,31",11,1 to 45,1 to 45
"December 26, 1992","6,12,17,18,42",17,1 to 45,1 to 45
"December 30, 1992","1,11,18,30,41",12,1 to 45,1 to 45
"January 2, 1993","9,12,20,27,35",20,1 to 45,1 to 45
"January 6, 1993","14,20,25,34,42",16,1 to 45,1 to 45
"January 9, 1993","5,10,38,40,43",10,1 to 45,1 to 45
"January 13, 1993","2,3,11,37,45",29,1 to 45,1 to 45
"January 16, 1993","5,7,8,25,28",13,1 to 45,1 to 45
"January 20, 1993","8,27,31,33,42",20,1 to 45,1 to 45
"January 23, 1993","8,12,15,30,33",9,1 to 45,1 to 45
"January 27, 1993","14,17,18,34,38",32,1 to 45,1 to 45
"January 30, 1993","1,10,27,40,45",17,1 to 45,1 to 45
"February 3, 1993","11,29,40,41,43",5,1 to 45,1 to 45
"February 6, 1993","19,23,25,31,41",37,1 to 45,1 to 45
"February 10, 1993","4,15,16,26,28",33,1 to 45,1 to 45
"February 13, 1993","5,7,11,24,28",22,1 to 45,1 to 45
"February 17, 1993","1,6,16,22,26",32,1 to 45,1 to 45
"February 20, 1993","10,28,32,38,41",38,1 to 45,1 to 45
"February 24, 1993","16,24,32,35,42",45,1 to 45,1 to 45
"February 27, 1993","1,4,16,35,38",27,1 to 45,1 to 45
"March 3, 1993","5,9,15,16,26",44,1 to 45,1 to 45
"March 6, 1993","5,15,21,25,41",34,1 to 45,1 to 45
"March 10, 1993","5,11,27,29,42",12,1 to 45,1 to 45
"March 13, 1993","2,11,21,35,38",29,1 to 45,1 to 45
"March 17, 1993","9,26,32,40,41",11,1 to 45,1 to 45
"March 20, 1993","12,14,25,32,41",38,1 to 45,1 to 45
"March 24, 1993","3,13,25,41,44",42,1 to 45,1 to 45
"March 27, 1993","2,3,13,14,17",26,1 to 45,1 to 45
"March 31, 1993","1,12,19,39,41",13,1 to 45,1 to 45
"April 3, 1993","15,22,24,32,39",18,1 to 45,1 to 45
"April 7, 1993","7,19,33,36,43",23,1 to 45,1 to 45
"April 10, 1993","23,24,30,36,39",34,1 to 45,1 to 45
"April 14, 1993","6,7,17,29,33",21,1 to 45,1 to 45
"April 17, 1993","4,15,30,36,38",9,1 to 45,1 to 45
"April 21, 1993","3,8,10,14,29",37,1 to 45,1 to 45
"April 24, 1993","9,15,16,25,26",2,1 to 45,1 to 45
"April 28, 1993","1,13,16,37,41",2,1 to 45,1 to 45
"May 1, 1993","2,14,25,35,41",1,1 to 45,1 to 45
"May 5, 1993","7,15,40,42,43",11,1 to 45,1 to 45
"May 8, 1993","21,22,36,43,45",26,1 to 45,1 to 45
"May 12, 1993","10,24,35,36,39",13,1 to 45,1 to 45
"May 15, 1993","15,27,32,40,41",30,1 to 45,1 to 45
"May 19, 1993","12,24,31,35,38",8,1 to 45,1 to 45
"May 22, 1993","7,18,26,31,36",39,1 to 45,1 to 45
"May 26, 1993","5,9,27,30,34",6,1 to 45,1 to 45
"May 29, 1993","1,5,21,28,41",12,1 to 45,1 to 45
"June 2, 1993","16,23,24,33,42",31,1 to 45,1 to 45
"June 5, 1993","1,3,5,9,30",45,1 to 45,1 to 45
"June 9, 1993","9,20,29,41,43",41,1 to 45,1 to 45
"June 12, 1993","11,24,28,39,41",36,1 to 45,1 to 45
"June 16, 1993","7,20,27,35,36",18,1 to 45,1 to 45
"June 19, 1993","6,17,20,36,42",17,1 to 45,1 to 45
"June 23, 1993","4,6,15,16,41",3,1 to 45,1 to 45
"June 26, 1993","4,9,18,19,42",10,1 to 45,1 to 45
"June 30, 1993","12,24,31,34,40",44,1 to 45,1 to 45
"July 3, 1993","9,14,15,30,40",4,1 to 45,1 to 45
"July 7, 1993","4,8,19,28,41",30,1 to 45,1 to 45
"July 10, 1993","15,18,19,28,41",35,1 to 45,1 to 45
"July 14, 1993","9,14,16,21,37",9,1 to 45,1 to 45
"July 17, 1993","11,23,33,35,44",43,1 to 45,1 to 45
"July 21, 1993","3,13,23,25,36",18,1 to 45,1 to 45
"July 24, 1993","6,11,12,23,40",3,1 to 45,1 to 45
"July 28, 1993","1,13,26,28,35",1,1 to 45,1 to 45
"July 31, 1993","16,25,26,31,35",16,1 to 45,1 to 45
"August 4, 1993","5,11,19,34,37",28,1 to 45,1 to 45
"August 7, 1993","3,18,20,22,35",41,1 to 45,1 to 45
"August 11, 1993","13,22,39,42,44",44,1 to 45,1 to 45
"August 14, 1993","10,11,14,34,36",10,1 to 45,1 to 45
"August 18, 1993","12,25,32,34,38",45,1 to 45,1 to 45
"August 21, 1993","24,26,34,37,42",13,1 to 45,1 to 45
"August 25, 1993","1,13,20,22,45",11,1 to 45,1 to 45
"August 28, 1993","1,4,7,10,12",42,1 to 45,1 to 45
"September 1, 1993","1,11,23,26,34",21,1 to 45,1 to 45
"September 4, 1993","20,26,38,41,43",22,1 to 45,1 to 45
"September 8, 1993","6,18,30,44,45",11,1 to 45,1 to 45
"September 11, 1993","2,4,27,29,35",23,1 to 45,1 to 45
"September 15, 1993","4,11,27,36,42",23,1 to 45,1 to 45
"September 18, 1993","1,8,18,29,38",42,1 to 45,1 to 45
"September 22, 1993","4,15,17,18,40",43,1 to 45,1 to 45
"September 25, 1993","1,2,8,16,23",9,1 to 45,1 to 45
"September 29, 1993","3,4,12,28,41",33,1 to 45,1 to 45
"October 2, 1993","2,4,21,25,36",34,1 to 45,1 to 45
"October 6, 1993","9,23,34,42,44",15,1 to 45,1 to 45
"October 9, 1993","9,10,11,13,23",28,1 to 45,1 to 45
"October 13, 1993","7,18,25,39,44",16,1 to 45,1 to 45
"October 16, 1993","2,3,15,27,43",15,1 to 45,1 to 45
"October 20, 1993","10,13,27,34,35",22,1 to 45,1 to 45
"October 23, 1993","4,6,21,38,39",13,1 to 45,1 to 45
"October 27, 1993","5,9,13,16,38",26,1 to 45,1 to 45
"October 30, 1993","1,12,21,22,41",25,1 to 45,1 to 45
"November 3, 1993","1,6,7,9,11",24,1 to 45,1 to 45
"November 6, 1993","3,22,26,28,45",26,1 to 45,1 to 45
"November 10, 1993","23,25,28,31,36",39,1 to 45,1 to 45
"November 13, 1993","13,15,18,22,23",35,1 to 45,1 to 45
"November 17, 1993","4,13,24,32,41",37,1 to 45,1 to 45
"November 20, 1993","6,13,21,38,39",40,1 to 45,1 to 45
"November 24, 1993","2,4,25,26,27",38,1 to 45,1 to 45
"November 27, 1993","13,24,27,32,43",43,1 to 45,1 to 45
"December 1, 1993","2,4,18,31,39",43,1 to 45,1 to 45
"December 4, 1993","5,15,16,39,45",25,1 to 45,1 to 45
"December 8, 1993","18,26,32,34,43",10,1 to 45,1 to 45
"December 11, 1993","15,27,37,39,42",26,1 to 45,1 to 45
"December 15, 1993","9,26,39,43,45",40,1 to 45,1 to 45
"December 18, 1993","3,4,8,9,44",36,1 to 45,1 to 45
"December 22, 1993","1,3,13,15,29",12,1 to 45,1 to 45
"December 25, 1993","6,8,20,26,36",29,1 to 45,1 to 45
