date,regularballs,powerball
"January 1, 2014","15, 24, 40, 48, 52",23
"January 4, 2014","19, 20, 37, 41, 58",14
"January 8, 2014","10, 28, 39, 47, 58",22
"January 11, 2014","10, 15, 33, 48, 54",34
"January 15, 2014","7, 8, 9, 24, 29",25
"January 18, 2014","13, 14, 19, 31, 38",25
"January 22, 2014","1, 2, 7, 9, 55",29
"January 25, 2014","8, 12, 18, 55, 57",2
"January 29, 2014","11, 23, 28, 32, 47",20
"February 1, 2014","5, 12, 15, 27, 38",7
"February 5, 2014","8, 17, 32, 57, 59",24
"February 8, 2014","24, 25, 34, 37, 54",29
"February 12, 2014","36, 44, 49, 52, 57",1
"February 15, 2014","2, 9, 14, 21, 23",3
"February 19, 2014","1, 17, 35, 49, 54",34
"February 22, 2014","2, 3, 13, 14, 54",4
"February 26, 2014","11, 12, 17, 38, 42",2
"March 1, 2014","3, 8, 25, 30, 47",13
"March 5, 2014","3, 7, 9, 26, 54",19
"March 8, 2014","10, 14, 24, 32, 41",30
"March 12, 2014","14, 15, 28, 37, 54",10
"March 15, 2014","2, 5, 34, 51, 58",9
"March 19, 2014","2, 19, 23, 34, 43",14
"March 22, 2014","13, 28, 31, 55, 58",15
"March 26, 2014","28, 33, 41, 44, 59",21
"March 29, 2014","2, 3, 12, 27, 38",17
"April 2, 2014","8, 13, 19, 22, 53",24
"April 5, 2014","11, 21, 26, 33, 34",29
"April 9, 2014","9, 14, 44, 48, 49",29
"April 12, 2014","14, 26, 45, 54, 55",20
"April 16, 2014","34, 39, 42, 44, 59",8
"April 19, 2014","5, 6, 29, 35, 51",21
"April 23, 2014","19, 25, 29, 36, 48",12
"April 26, 2014","3, 7, 22, 30, 33",20
"April 30, 2014","2, 9, 11, 19, 50",32
"May 3, 2014","5, 15, 16, 46, 49",26
"May 7, 2014","17, 29, 31, 48, 49",34
"May 10, 2014","4, 31, 41, 47, 55",1
"May 14, 2014","7, 33, 39, 52, 55",33
"May 17, 2014","23, 32, 39, 47, 49",22
"May 21, 2014","4, 20, 34, 39, 58",31
"May 24, 2014","15, 16, 28, 49, 55",18
"May 28, 2014","2, 24, 28, 32, 59",25
"May 31, 2014","15, 27, 31, 34, 48",1
"June 4, 2014","1, 7, 10, 22, 49",24
"June 7, 2014","28, 30, 35, 58, 59",15
"June 11, 2014","14, 18, 25, 33, 49",23
"June 14, 2014","9, 33, 42, 45, 54",30
"June 18, 2014","6, 9, 29, 52, 59",7
"June 21, 2014","5, 6, 37, 41, 54",26
"June 25, 2014","10, 20, 25, 50, 53",35
"June 28, 2014","8, 12, 34, 43, 56",9
"July 2, 2014","8, 18, 45, 53, 58",35
"July 5, 2014","24, 34, 36, 57, 58",11
"July 9, 2014","9, 25, 42, 55, 57",14
"July 12, 2014","2, 3, 7, 23, 51",26
"July 16, 2014","5, 15, 18, 26, 32",35
"July 19, 2014","10, 17, 25, 45, 53",9
"July 23, 2014","4, 10, 12, 22, 31",3
"July 26, 2014","24, 28, 30, 38, 39",16
"July 30, 2014","13, 30, 42, 49, 53",29
"August 2, 2014","12, 26, 44, 46, 47",29
"August 6, 2014","1, 8, 24, 28, 49",24
"August 9, 2014","3, 12, 31, 34, 51",24
"August 13, 2014","8, 37, 39, 40, 52",24
"August 16, 2014","7, 8, 17, 48, 59",9
"August 20, 2014","4, 8, 21, 38, 40",3
"August 23, 2014","28, 32, 35, 36, 52",31
"August 27, 2014","17, 24, 26, 45, 46",19
"August 30, 2014","5, 28, 31, 52, 59",27
"September 3, 2014","2, 16, 43, 45, 51",35
"September 6, 2014","9, 29, 31, 43, 50",18
"September 10, 2014","2, 14, 39, 40, 43",13
"September 13, 2014","1, 6, 16, 37, 53",27
"September 17, 2014","18, 25, 36, 48, 50",23
"September 20, 2014","22, 23, 30, 37, 39",16
"September 24, 2014","7, 14, 21, 24, 41",26
"September 27, 2014","2, 11, 35, 52, 54",13
"October 1, 2014","1, 4, 18, 20, 45",7
"October 4, 2014","13, 18, 24, 25, 33",31
"October 8, 2014","5, 16, 31, 46, 50",18
"October 11, 2014","10, 19, 37, 38, 39",28
"October 15, 2014","5, 7, 19, 27, 28",20
"October 18, 2014","20, 26, 27, 36, 54",19
"October 22, 2014","29, 30, 40, 42, 50",16
"October 25, 2014","6, 10, 51, 54, 57",12
"October 29, 2014","25, 28, 48, 57, 59",16
"November 1, 2014","1, 3, 13, 25, 38",17
"November 5, 2014","2, 11, 19, 21, 42",34
"November 8, 2014","9, 19, 33, 38, 54",15
"November 12, 2014","37, 39, 51, 52, 55",11
"November 15, 2014","13, 16, 33, 35, 51",28
"November 19, 2014","6, 36, 38, 48, 51",17
"November 22, 2014","23, 49, 53, 54, 57",35
"November 26, 2014","16, 17, 22, 46, 54",35
"November 29, 2014","13, 24, 30, 42, 48",27
"December 3, 2014","25, 30, 32, 46, 54",26
"December 6, 2014","12, 15, 22, 43, 49",14
"December 10, 2014","34, 44, 48, 54, 55",10
"December 13, 2014","5, 13, 28, 43, 55",33
"December 17, 2014","22, 31, 38, 47, 48",15
"December 20, 2014","14, 15, 19, 31, 56",5
"December 24, 2014","11, 12, 46, 47, 50",22
"December 27, 2014","7, 10, 11, 14, 36",15
"December 31, 2014","17, 27, 37, 40, 53",35
"January 3, 2015","4, 18, 43, 46, 55",25
"January 7, 2015","14, 15, 47, 49, 59",10
"January 10, 2015","2, 9, 19, 28, 29",19
"January 14, 2015","2, 4, 10, 41, 53",22
"January 17, 2015","15, 16, 23, 27, 36",9
"January 21, 2015","11, 12, 15, 28, 57",23
"January 24, 2015","16, 19, 20, 29, 33",10
"January 28, 2015","12, 24, 35, 36, 49",1
"January 31, 2015","5, 11, 16, 26, 50",34
"February 4, 2015","24, 36, 51, 52, 56",22
"February 7, 2015","5, 10, 21, 34, 58",33
"February 11, 2015","11, 13, 25, 39, 54",19
"February 14, 2015","1, 24, 44, 45, 51",28
"February 18, 2015","1, 9, 29, 32, 49",22
"February 21, 2015","10, 14, 18, 34, 51",26
"February 25, 2015","17, 19, 21, 32, 39",8
"February 28, 2015","11, 17, 25, 28, 46",12
"March 4, 2015","8, 12, 15, 35, 50",32
"March 7, 2015","34, 36, 38, 42, 50",33
"March 11, 2015","11, 24, 31, 40, 44",27
"March 14, 2015","8, 14, 39, 46, 47",18
"March 18, 2015","14, 25, 30, 33, 47",8
